Timestamp,AERL
2012-01-01T00:00:00-08:00 Los_Angeles,1229.75kWh
2012-01-02T00:00:00-08:00 Los_Angeles,1404.125kWh
2012-01-03T00:00:00-08:00 Los_Angeles,1681.625kWh
2012-01-04T00:00:00-08:00 Los_Angeles,1655.125kWh
2012-01-05T00:00:00-08:00 Los_Angeles,1576.5kWh
2012-01-06T00:00:00-08:00 Los_Angeles,1560.75kWh
2012-01-07T00:00:00-08:00 Los_Angeles,1125.5kWh
2012-01-08T00:00:00-08:00 Los_Angeles,1143.875kWh
2012-01-09T00:00:00-08:00 Los_Angeles,1603.75kWh
2012-01-10T00:00:00-08:00 Los_Angeles,1613.75kWh
2012-01-11T00:00:00-08:00 Los_Angeles,1608.75kWh
2012-01-12T00:00:00-08:00 Los_Angeles,1590.625kWh
2012-01-13T00:00:00-08:00 Los_Angeles,1573.125kWh
2012-01-14T00:00:00-08:00 Los_Angeles,1121.75kWh
2012-01-15T00:00:00-08:00 Los_Angeles,1116.375kWh
2012-01-16T00:00:00-08:00 Los_Angeles,1570.25kWh
2012-01-17T00:00:00-08:00 Los_Angeles,1613.125kWh
2012-01-18T00:00:00-08:00 Los_Angeles,1616.25kWh
2012-01-19T00:00:00-08:00 Los_Angeles,1624.5kWh
2012-01-20T00:00:00-08:00 Los_Angeles,1616.875kWh
2012-01-21T00:00:00-08:00 Los_Angeles,1204.5kWh
2012-01-22T00:00:00-08:00 Los_Angeles,1168.875kWh
2012-01-23T00:00:00-08:00 Los_Angeles,1635.375kWh
2012-01-24T00:00:00-08:00 Los_Angeles,1649.375kWh
2012-01-25T00:00:00-08:00 Los_Angeles,1626.5kWh
2012-01-26T00:00:00-08:00 Los_Angeles,1604.875kWh
2012-01-27T00:00:00-08:00 Los_Angeles,1628.875kWh
2012-01-28T00:00:00-08:00 Los_Angeles,1208kWh
2012-01-29T00:00:00-08:00 Los_Angeles,1230kWh
2012-01-30T00:00:00-08:00 Los_Angeles,1661.25kWh
2012-01-31T00:00:00-08:00 Los_Angeles,1662.125kWh
2012-02-01T00:00:00-08:00 Los_Angeles,1623.625kWh
2012-02-02T00:00:00-08:00 Los_Angeles,1656.25kWh
2012-02-03T00:00:00-08:00 Los_Angeles,1639.125kWh
2012-02-04T00:00:00-08:00 Los_Angeles,1221.875kWh
2012-02-05T00:00:00-08:00 Los_Angeles,1208kWh
2012-02-06T00:00:00-08:00 Los_Angeles,1618.375kWh
2012-02-07T00:00:00-08:00 Los_Angeles,1619.75kWh
2012-02-08T00:00:00-08:00 Los_Angeles,1699.75kWh
2012-02-09T00:00:00-08:00 Los_Angeles,1682.75kWh
2012-02-10T00:00:00-08:00 Los_Angeles,1612.25kWh
