Timestamp,AERL
2012-01-01T00:00:00-08:00 Los_Angeles,51.243221759796135kW
2012-01-02T00:00:00-08:00 Los_Angeles,58.50248634815213kW
2012-01-03T00:00:00-08:00 Los_Angeles,70.03050378958385kW
2012-01-04T00:00:00-08:00 Los_Angeles,69.01165334383647kW
2012-01-05T00:00:00-08:00 Los_Angeles,65.75843298435213kW
2012-01-06T00:00:00-08:00 Los_Angeles,65.02668396631879kW
2012-01-07T00:00:00-08:00 Los_Angeles,46.87458487351737kW
2012-01-08T00:00:00-08:00 Los_Angeles,47.6524877945582kW
2012-01-09T00:00:00-08:00 Los_Angeles,66.82232677936554kW
2012-01-10T00:00:00-08:00 Los_Angeles,67.2238079706828kW
2012-01-11T00:00:00-08:00 Los_Angeles,67.04063757260643kW
2012-01-12T00:00:00-08:00 Los_Angeles,66.32286238670348kW
2012-01-13T00:00:00-08:00 Los_Angeles,65.53849438826244kW
2012-01-14T00:00:00-08:00 Los_Angeles,46.727391282717385kW
2012-01-15T00:00:00-08:00 Los_Angeles,46.53956258296966kW
2012-01-16T00:00:00-08:00 Los_Angeles,65.39709043502805kW
2012-01-17T00:00:00-08:00 Los_Angeles,67.1775762240092kW
2012-01-18T00:00:00-08:00 Los_Angeles,67.34832485516861kW
2012-01-19T00:00:00-08:00 Los_Angeles,67.73201835155487kW
2012-01-20T00:00:00-08:00 Los_Angeles,67.31470433870952kW
2012-01-21T00:00:00-08:00 Los_Angeles,50.233902613321945kW
2012-01-22T00:00:00-08:00 Los_Angeles,48.71025383472444kW
2012-01-23T00:00:00-08:00 Los_Angeles,68.12133411566418kW
2012-01-24T00:00:00-08:00 Los_Angeles,68.73617124557495kW
2012-01-25T00:00:00-08:00 Los_Angeles,67.73961754639943kW
2012-01-26T00:00:00-08:00 Los_Angeles,66.92349056402844kW
2012-01-27T00:00:00-08:00 Los_Angeles,67.86593870321909kW
2012-01-28T00:00:00-08:00 Los_Angeles,50.294895410537706kW
2012-01-29T00:00:00-08:00 Los_Angeles,51.22301717599232kW
2012-01-30T00:00:00-08:00 Los_Angeles,69.2353844642639kW
2012-01-31T00:00:00-08:00 Los_Angeles,69.25928990046182kW
2012-02-01T00:00:00-08:00 Los_Angeles,67.6399907271067kW
2012-02-02T00:00:00-08:00 Los_Angeles,69.07739885648091kW
2012-02-03T00:00:00-08:00 Los_Angeles,68.25831409295401kW
2012-02-04T00:00:00-08:00 Los_Angeles,50.90154572327931kW
2012-02-05T00:00:00-08:00 Los_Angeles,50.36487003167471kW
2012-02-06T00:00:00-08:00 Los_Angeles,67.4030058781306kW
2012-02-07T00:00:00-08:00 Los_Angeles,67.45938388506573kW
2012-02-08T00:00:00-08:00 Los_Angeles,70.81656130154924kW
2012-02-09T00:00:00-08:00 Los_Angeles,70.16002535820004kW
2012-02-10T00:00:00-08:00 Los_Angeles,67.18236068884532kW
2012-02-11T00:00:00-08:00 Los_Angeles,50.43084422747296kW
2012-02-12T00:00:00-08:00 Los_Angeles,50.64319082101185kW
2012-02-13T00:00:00-08:00 Los_Angeles,68.02041840553287kW
2012-02-14T00:00:00-08:00 Los_Angeles,67.6696220636368kW
2012-02-15T00:00:00-08:00 Los_Angeles,66.49064457416534kW
2012-02-16T00:00:00-08:00 Los_Angeles,68.60039063294728kW
2012-02-17T00:00:00-08:00 Los_Angeles,64.85324056943259kW
2012-02-18T00:00:00-08:00 Los_Angeles,48.93788909912111kW
2012-02-19T00:00:00-08:00 Los_Angeles,50.10273567835492kW
2012-02-20T00:00:00-08:00 Los_Angeles,64.9172104199727kW
2012-02-21T00:00:00-08:00 Los_Angeles,67.41157762209576kW
2012-02-22T00:00:00-08:00 Los_Angeles,64.00764604409537kW
2012-02-23T00:00:00-08:00 Los_Angeles,65.31190741062166kW
2012-02-24T00:00:00-08:00 Los_Angeles,65.91920773188276kW
2012-02-25T00:00:00-08:00 Los_Angeles,50.84074350198113kW
2012-02-26T00:00:00-08:00 Los_Angeles,50.23840359846751kW
2012-02-27T00:00:00-08:00 Los_Angeles,67.77453426520026kW
2012-02-28T00:00:00-08:00 Los_Angeles,69.15997179349263kW
2012-02-29T00:00:00-08:00 Los_Angeles,69.2289998928706kW
2012-03-01T00:00:00-08:00 Los_Angeles,70.06230787436166kW
2012-03-02T00:00:00-08:00 Los_Angeles,68.03347353140511kW
2012-03-03T00:00:00-08:00 Los_Angeles,49.918320735295616kW
2012-03-04T00:00:00-08:00 Los_Angeles,49.861925681432076kW
2012-03-05T00:00:00-08:00 Los_Angeles,70.51963619391124kW
2012-03-06T00:00:00-08:00 Los_Angeles,69.28996523221335kW
