Timestamp,Hennings
2012-01-01T00:00:00-08:00 Los_Angeles,3011.125kWh
2012-01-02T00:00:00-08:00 Los_Angeles,3111.9375kWh
2012-01-03T00:00:00-08:00 Los_Angeles,3489.4375kWh
2012-01-04T00:00:00-08:00 Los_Angeles,3529.375kWh
2012-01-05T00:00:00-08:00 Los_Angeles,3565.875kWh
2012-01-06T00:00:00-08:00 Los_Angeles,3745.8125kWh
2012-01-07T00:00:00-08:00 Los_Angeles,3399kWh
2012-01-08T00:00:00-08:00 Los_Angeles,3304.4375kWh
2012-01-09T00:00:00-08:00 Los_Angeles,3910.4375kWh
2012-01-10T00:00:00-08:00 Los_Angeles,4001.9375kWh
2012-01-11T00:00:00-08:00 Los_Angeles,4062kWh
2012-01-12T00:00:00-08:00 Los_Angeles,4012.5625kWh
2012-01-13T00:00:00-08:00 Los_Angeles,3977.6875kWh
2012-01-14T00:00:00-08:00 Los_Angeles,3392.4375kWh
2012-01-15T00:00:00-08:00 Los_Angeles,3562.625kWh
2012-01-16T00:00:00-08:00 Los_Angeles,4166.3125kWh
2012-01-17T00:00:00-08:00 Los_Angeles,4186.625kWh
2012-01-18T00:00:00-08:00 Los_Angeles,4532.5625kWh
2012-01-19T00:00:00-08:00 Los_Angeles,4564.0625kWh
2012-01-20T00:00:00-08:00 Los_Angeles,4290.6875kWh
2012-01-21T00:00:00-08:00 Los_Angeles,3497.25kWh
2012-01-22T00:00:00-08:00 Los_Angeles,3527.5625kWh
2012-01-23T00:00:00-08:00 Los_Angeles,4119.625kWh
2012-01-24T00:00:00-08:00 Los_Angeles,4145.625kWh
2012-01-25T00:00:00-08:00 Los_Angeles,3989.875kWh
2012-01-26T00:00:00-08:00 Los_Angeles,4012.875kWh
2012-01-27T00:00:00-08:00 Los_Angeles,3978.125kWh
2012-01-28T00:00:00-08:00 Los_Angeles,3387.3125kWh
2012-01-29T00:00:00-08:00 Los_Angeles,3213.875kWh
2012-01-30T00:00:00-08:00 Los_Angeles,3940.75kWh
2012-01-31T00:00:00-08:00 Los_Angeles,3874.375kWh
2012-02-01T00:00:00-08:00 Los_Angeles,3699.9375kWh
2012-02-02T00:00:00-08:00 Los_Angeles,3840.75kWh
2012-02-03T00:00:00-08:00 Los_Angeles,3900.375kWh
2012-02-04T00:00:00-08:00 Los_Angeles,3284kWh
2012-02-05T00:00:00-08:00 Los_Angeles,3332.25kWh
2012-02-06T00:00:00-08:00 Los_Angeles,4008.75kWh
2012-02-07T00:00:00-08:00 Los_Angeles,3975.875kWh
2012-02-08T00:00:00-08:00 Los_Angeles,3956.3125kWh
2012-02-09T00:00:00-08:00 Los_Angeles,3941.5625kWh
2012-02-10T00:00:00-08:00 Los_Angeles,3846.5kWh
2012-02-11T00:00:00-08:00 Los_Angeles,3281.75kWh
2012-02-12T00:00:00-08:00 Los_Angeles,3324.375kWh
2012-02-13T00:00:00-08:00 Los_Angeles,3963.125kWh
2012-02-14T00:00:00-08:00 Los_Angeles,3980.4375kWh
2012-02-15T00:00:00-08:00 Los_Angeles,4055kWh
2012-02-16T00:00:00-08:00 Los_Angeles,4116.4375kWh
2012-02-17T00:00:00-08:00 Los_Angeles,3925.625kWh
2012-02-18T00:00:00-08:00 Los_Angeles,3330.8125kWh
2012-02-19T00:00:00-08:00 Los_Angeles,3246.125kWh
2012-02-20T00:00:00-08:00 Los_Angeles,3894.3125kWh
2012-02-21T00:00:00-08:00 Los_Angeles,3974.75kWh
2012-02-22T00:00:00-08:00 Los_Angeles,3884kWh
2012-02-23T00:00:00-08:00 Los_Angeles,3898.5625kWh
2012-02-24T00:00:00-08:00 Los_Angeles,4032.25kWh
2012-02-25T00:00:00-08:00 Los_Angeles,3418.5kWh
2012-02-26T00:00:00-08:00 Los_Angeles,3385.8125kWh
2012-02-27T00:00:00-08:00 Los_Angeles,4172.3125kWh
2012-02-28T00:00:00-08:00 Los_Angeles,4151kWh
2012-02-29T00:00:00-08:00 Los_Angeles,4122.1875kWh
2012-03-01T00:00:00-08:00 Los_Angeles,4007kWh
2012-03-02T00:00:00-08:00 Los_Angeles,3913.4375kWh
2012-03-03T00:00:00-08:00 Los_Angeles,3265.875kWh
2012-03-04T00:00:00-08:00 Los_Angeles,3297.125kWh
2012-03-05T00:00:00-08:00 Los_Angeles,3957.8125kWh
2012-03-06T00:00:00-08:00 Los_Angeles,3911.66552734375kWh
2012-03-07T00:00:00-08:00 Los_Angeles,3930.923828125kWh
2012-03-08T00:00:00-08:00 Los_Angeles,3916.70654296875kWh
2012-03-09T00:00:00-08:00 Los_Angeles,3817.3330078125kWh
2012-03-10T00:00:00-08:00 Los_Angeles,3374.208984375kWh
