Timestamp,Hennings
2012-01-01T00:00:00-08:00 Los_Angeles,125.5995243390401kW
2012-01-02T00:00:00-08:00 Los_Angeles,129.67885144551593kW
2012-01-03T00:00:00-08:00 Los_Angeles,145.40706181526184kW
2012-01-04T00:00:00-08:00 Los_Angeles,147.0612210432688kW
2012-01-05T00:00:00-08:00 Los_Angeles,148.62821849187216kW
2012-01-06T00:00:00-08:00 Los_Angeles,155.92649118105572kW
2012-01-07T00:00:00-08:00 Los_Angeles,141.62322552998862kW
2012-01-08T00:00:00-08:00 Los_Angeles,137.6116086641947kW
2012-01-09T00:00:00-08:00 Los_Angeles,162.90851688385004kW
2012-01-10T00:00:00-08:00 Los_Angeles,166.7303228378296kW
2012-01-11T00:00:00-08:00 Los_Angeles,169.26298093795774kW
2012-01-12T00:00:00-08:00 Los_Angeles,167.12644720077517kW
2012-01-13T00:00:00-08:00 Los_Angeles,165.84001636505124kW
2012-01-14T00:00:00-08:00 Los_Angeles,141.290540933609kW
2012-01-15T00:00:00-08:00 Los_Angeles,148.44371827443447kW
2012-01-16T00:00:00-08:00 Los_Angeles,173.67211167017626kW
2012-01-17T00:00:00-08:00 Los_Angeles,174.22358783086142kW
2012-01-18T00:00:00-08:00 Los_Angeles,188.85794814427697kW
2012-01-19T00:00:00-08:00 Los_Angeles,190.27353413899743kW
2012-01-20T00:00:00-08:00 Los_Angeles,178.98542372385657kW
2012-01-21T00:00:00-08:00 Los_Angeles,145.60341024398798kW
2012-01-22T00:00:00-08:00 Los_Angeles,147.0204253196716kW
2012-01-23T00:00:00-08:00 Los_Angeles,171.6286245981853kW
2012-01-24T00:00:00-08:00 Los_Angeles,172.84475167592365kW
2012-01-25T00:00:00-08:00 Los_Angeles,166.19929973284408kW
2012-01-26T00:00:00-08:00 Los_Angeles,167.35145791371664kW
2012-01-27T00:00:00-08:00 Los_Angeles,165.71455605824798kW
2012-01-28T00:00:00-08:00 Los_Angeles,141.08082803090414kW
2012-01-29T00:00:00-08:00 Los_Angeles,134.00059096018475kW
2012-01-30T00:00:00-08:00 Los_Angeles,164.19602092107127kW
2012-01-31T00:00:00-08:00 Los_Angeles,161.45268352826434kW
2012-02-01T00:00:00-08:00 Los_Angeles,154.15907772382107kW
2012-02-02T00:00:00-08:00 Los_Angeles,160.00822679201767kW
2012-02-03T00:00:00-08:00 Los_Angeles,162.60677035649624kW
2012-02-04T00:00:00-08:00 Los_Angeles,136.70011520385742kW
2012-02-05T00:00:00-08:00 Los_Angeles,138.90521542231244kW
2012-02-06T00:00:00-08:00 Los_Angeles,166.9214617411296kW
2012-02-07T00:00:00-08:00 Los_Angeles,165.78129959106445kW
2012-02-08T00:00:00-08:00 Los_Angeles,164.8123925526937kW
2012-02-09T00:00:00-08:00 Los_Angeles,164.36199537913kW
2012-02-10T00:00:00-08:00 Los_Angeles,160.22091849644985kW
2012-02-11T00:00:00-08:00 Los_Angeles,136.74708477656043kW
2012-02-12T00:00:00-08:00 Los_Angeles,138.51021067301434kW
2012-02-13T00:00:00-08:00 Los_Angeles,165.05998611450192kW
2012-02-14T00:00:00-08:00 Los_Angeles,165.76786390940353kW
2012-02-15T00:00:00-08:00 Los_Angeles,169.0374711354573kW
2012-02-16T00:00:00-08:00 Los_Angeles,171.56498893102008kW
2012-02-17T00:00:00-08:00 Los_Angeles,163.55760272343957kW
