Timestamp,Hennings
2012-01-01T00:00:00-08:00 Los_Angeles,32.1015625m³
2012-01-02T00:00:00-08:00 Los_Angeles,32.6015625m³
2012-01-03T00:00:00-08:00 Los_Angeles,35.5m³
2012-01-04T00:00:00-08:00 Los_Angeles,39.296875m³
2012-01-05T00:00:00-08:00 Los_Angeles,37.90234375m³
2012-01-06T00:00:00-08:00 Los_Angeles,42.5m³
2012-01-07T00:00:00-08:00 Los_Angeles,43.30078125m³
2012-01-08T00:00:00-08:00 Los_Angeles,42.8984375m³
2012-01-09T00:00:00-08:00 Los_Angeles,51.8984375m³
2012-01-10T00:00:00-08:00 Los_Angeles,51.40234375m³
2012-01-11T00:00:00-08:00 Los_Angeles,51.8984375m³
2012-01-12T00:00:00-08:00 Los_Angeles,50.30078125m³
2012-01-13T00:00:00-08:00 Los_Angeles,48.69921875m³
2012-01-14T00:00:00-08:00 Los_Angeles,43.30078125m³
2012-01-15T00:00:00-08:00 Los_Angeles,42.30078125m³
2012-01-16T00:00:00-08:00 Los_Angeles,50.19921875m³
2012-01-17T00:00:00-08:00 Los_Angeles,52.80078125m³
2012-01-18T00:00:00-08:00 Los_Angeles,55.09765625m³
2012-01-19T00:00:00-08:00 Los_Angeles,53.40234375m³
2012-01-20T00:00:00-08:00 Los_Angeles,53.19921875m³
2012-01-21T00:00:00-08:00 Los_Angeles,45.5m³
2012-01-22T00:00:00-08:00 Los_Angeles,45.8984375m³
2012-01-23T00:00:00-08:00 Los_Angeles,55.703125m³
2012-01-24T00:00:00-08:00 Los_Angeles,55.296875m³
2012-01-25T00:00:00-08:00 Los_Angeles,54.90234375m³
2012-01-26T00:00:00-08:00 Los_Angeles,54.09765625m³
2012-01-27T00:00:00-08:00 Los_Angeles,52.6015625m³
2012-01-28T00:00:00-08:00 Los_Angeles,43.6015625m³
2012-01-29T00:00:00-08:00 Los_Angeles,44.19921875m³
2012-01-30T00:00:00-08:00 Los_Angeles,54.80078125m³
2012-01-31T00:00:00-08:00 Los_Angeles,49.796875m³
2012-02-01T00:00:00-08:00 Los_Angeles,44.30078125m³
2012-02-02T00:00:00-08:00 Los_Angeles,44.90234375m³
2012-02-03T00:00:00-08:00 Los_Angeles,50.296875m³
2012-02-04T00:00:00-08:00 Los_Angeles,41.6015625m³
2012-02-05T00:00:00-08:00 Los_Angeles,42m³
2012-02-06T00:00:00-08:00 Los_Angeles,52.69921875m³
2012-02-07T00:00:00-08:00 Los_Angeles,51.80078125m³
2012-02-08T00:00:00-08:00 Los_Angeles,51.8984375m³
2012-02-09T00:00:00-08:00 Los_Angeles,52.203125m³
2012-02-10T00:00:00-08:00 Los_Angeles,52.09765625m³
2012-02-11T00:00:00-08:00 Los_Angeles,45.69921875m³
2012-02-12T00:00:00-08:00 Los_Angeles,45.80078125m³
2012-02-13T00:00:00-08:00 Los_Angeles,54.30078125m³
2012-02-14T00:00:00-08:00 Los_Angeles,52.30078125m³
2012-02-15T00:00:00-08:00 Los_Angeles,56.09765625m³
2012-02-16T00:00:00-08:00 Los_Angeles,51.80078125m³
2012-02-17T00:00:00-08:00 Los_Angeles,50.80078125m³
2012-02-18T00:00:00-08:00 Los_Angeles,42.69921875m³
2012-02-19T00:00:00-08:00 Los_Angeles,42.30078125m³
2012-02-20T00:00:00-08:00 Los_Angeles,47.80078125m³
2012-02-21T00:00:00-08:00 Los_Angeles,48.5m³
2012-02-22T00:00:00-08:00 Los_Angeles,48.3984375m³
2012-02-23T00:00:00-08:00 Los_Angeles,48m³
2012-02-24T00:00:00-08:00 Los_Angeles,49.40234375m³
2012-02-25T00:00:00-08:00 Los_Angeles,44.296875m³
2012-02-26T00:00:00-08:00 Los_Angeles,42.1015625m³
2012-02-27T00:00:00-08:00 Los_Angeles,51.8984375m³
2012-02-28T00:00:00-08:00 Los_Angeles,51.703125m³
2012-02-29T00:00:00-08:00 Los_Angeles,51.69921875m³
2012-03-01T00:00:00-08:00 Los_Angeles,51.80078125m³
2012-03-02T00:00:00-08:00 Los_Angeles,50.09765625m³
2012-03-03T00:00:00-08:00 Los_Angeles,44.30078125m³
2012-03-04T00:00:00-08:00 Los_Angeles,44.1015625m³
2012-03-05T00:00:00-08:00 Los_Angeles,52.796875m³
2012-03-06T00:00:00-08:00 Los_Angeles,50m³
2012-03-07T00:00:00-08:00 Los_Angeles,51.203125m³
2012-03-08T00:00:00-08:00 Los_Angeles,50m³
2012-03-09T00:00:00-08:00 Los_Angeles,49.296875m³
2012-03-10T00:00:00-08:00 Los_Angeles,44.30078125m³
2012-03-11T00:00:00-08:00 Los_Angeles,41.40234375m³
2012-03-12T00:00:00-07:00 Los_Angeles,51.19921875m³
2012-03-13T00:00:00-07:00 Los_Angeles,50.09765625m³
2012-03-14T00:00:00-07:00 Los_Angeles,50.703125m³
2012-03-15T00:00:00-07:00 Los_Angeles,50m³
2012-03-16T00:00:00-07:00 Los_Angeles,50m³
2012-03-17T00:00:00-07:00 Los_Angeles,44.09765625m³
2012-03-18T00:00:00-07:00 Los_Angeles,43.5m³
2012-03-19T00:00:00-07:00 Los_Angeles,51.69921875m³
2012-03-20T00:00:00-07:00 Los_Angeles,50.703125m³
2012-03-21T00:00:00-07:00 Los_Angeles,50m³
2012-03-22T00:00:00-07:00 Los_Angeles,50m³
2012-03-23T00:00:00-07:00 Los_Angeles,50.69921875m³
2012-03-24T00:00:00-07:00 Los_Angeles,45.19921875m³
2012-03-25T00:00:00-07:00 Los_Angeles,44.30078125m³
2012-03-26T00:00:00-07:00 Los_Angeles,52.19921875m³
2012-03-27T00:00:00-07:00 Los_Angeles,52.30078125m³
2012-03-28T00:00:00-07:00 Los_Angeles,53.30078125m³
2012-03-29T00:00:00-07:00 Los_Angeles,52.796875m³
2012-03-30T00:00:00-07:00 Los_Angeles,52m³
2012-03-31T00:00:00-07:00 Los_Angeles,46.90234375m³
2012-04-01T00:00:00-07:00 Los_Angeles,45.59765625m³
2012-04-02T00:00:00-07:00 Los_Angeles,54.30078125m³
2012-04-03T00:00:00-07:00 Los_Angeles,54.1015625m³
2012-04-04T00:00:00-07:00 Los_Angeles,54.3984375m³
2012-04-05T00:00:00-07:00 Los_Angeles,51.5m³
2012-04-06T00:00:00-07:00 Los_Angeles,45.5m³
2012-04-07T00:00:00-07:00 Los_Angeles,45.69921875m³
2012-04-08T00:00:00-07:00 Los_Angeles,45.6015625m³
2012-04-09T00:00:00-07:00 Los_Angeles,46.69921875m³
2012-04-10T00:00:00-07:00 Los_Angeles,51.69921875m³
2012-04-11T00:00:00-07:00 Los_Angeles,53.203125m³
2012-04-12T00:00:00-07:00 Los_Angeles,52.5m³
2012-04-13T00:00:00-07:00 Los_Angeles,52.19921875m³
2012-04-14T00:00:00-07:00 Los_Angeles,50.5m³
2012-04-15T00:00:00-07:00 Los_Angeles,47.8984375m³
2012-04-16T00:00:00-07:00 Los_Angeles,54.69921875m³
2012-04-17T00:00:00-07:00 Los_Angeles,54.5m³
2012-04-18T00:00:00-07:00 Los_Angeles,55.30078125m³
2012-04-19T00:00:00-07:00 Los_Angeles,53.69921875m³
2012-04-20T00:00:00-07:00 Los_Angeles,54.5m³
2012-04-21T00:00:00-07:00 Los_Angeles,51.203125m³
2012-04-22T00:00:00-07:00 Los_Angeles,49.5m³
2012-04-23T00:00:00-07:00 Los_Angeles,53.69921875m³
2012-04-24T00:00:00-07:00 Los_Angeles,53.09765625m³
2012-04-25T00:00:00-07:00 Los_Angeles,54m³
2012-04-26T00:00:00-07:00 Los_Angeles,51.30078125m³
2012-04-27T00:00:00-07:00 Los_Angeles,51.30078125m³
2012-04-28T00:00:00-07:00 Los_Angeles,48.19921875m³
2012-04-29T00:00:00-07:00 Los_Angeles,48.40234375m³
2012-04-30T00:00:00-07:00 Los_Angeles,51.59765625m³
2012-05-01T00:00:00-07:00 Los_Angeles,52.1015625m³
2012-05-02T00:00:00-07:00 Los_Angeles,51.5m³
2012-05-03T00:00:00-07:00 Los_Angeles,52.59765625m³
2012-05-04T00:00:00-07:00 Los_Angeles,52.1015625m³
2012-05-05T00:00:00-07:00 Los_Angeles,114.6015625m³
2012-05-06T00:00:00-07:00 Los_Angeles,125.296875m³
2012-05-07T00:00:00-07:00 Los_Angeles,88m³
2012-05-08T00:00:00-07:00 Los_Angeles,54.1015625m³
2012-05-09T00:00:00-07:00 Los_Angeles,54.8984375m³
2012-05-10T00:00:00-07:00 Los_Angeles,53.80078125m³
2012-05-11T00:00:00-07:00 Los_Angeles,53.80078125m³
2012-05-12T00:00:00-07:00 Los_Angeles,49.3984375m³
2012-05-13T00:00:00-07:00 Los_Angeles,49.80078125m³
2012-05-14T00:00:00-07:00 Los_Angeles,54.19921875m³
2012-05-15T00:00:00-07:00 Los_Angeles,54.5m³
2012-05-16T00:00:00-07:00 Los_Angeles,54.80078125m³
2012-05-17T00:00:00-07:00 Los_Angeles,54.1015625m³
2012-05-18T00:00:00-07:00 Los_Angeles,53.80078125m³
2012-05-19T00:00:00-07:00 Los_Angeles,49.09765625m³
2012-05-20T00:00:00-07:00 Los_Angeles,49.1015625m³
2012-05-21T00:00:00-07:00 Los_Angeles,52.09765625m³
2012-05-22T00:00:00-07:00 Los_Angeles,58.5m³
2012-05-23T00:00:00-07:00 Los_Angeles,59m³
2012-05-24T00:00:00-07:00 Los_Angeles,53.6015625m³
2012-05-25T00:00:00-07:00 Los_Angeles,54m³
2012-05-26T00:00:00-07:00 Los_Angeles,49.8984375m³
2012-05-27T00:00:00-07:00 Los_Angeles,50m³
2012-05-28T00:00:00-07:00 Los_Angeles,53.1015625m³
2012-05-29T00:00:00-07:00 Los_Angeles,44m³
2012-05-30T00:00:00-07:00 Los_Angeles,49.5m³
2012-05-31T00:00:00-07:00 Los_Angeles,54.1015625m³
2012-06-01T00:00:00-07:00 Los_Angeles,54.09765625m³
2012-06-02T00:00:00-07:00 Los_Angeles,46.6015625m³
2012-06-03T00:00:00-07:00 Los_Angeles,44.80078125m³
2012-06-04T00:00:00-07:00 Los_Angeles,52.19921875m³
2012-06-05T00:00:00-07:00 Los_Angeles,50.3984375m³
2012-06-06T00:00:00-07:00 Los_Angeles,50.90234375m³
2012-06-07T00:00:00-07:00 Los_Angeles,51.09765625m³
2012-06-08T00:00:00-07:00 Los_Angeles,49.69921875m³
2012-06-09T00:00:00-07:00 Los_Angeles,44.1015625m³
2012-06-10T00:00:00-07:00 Los_Angeles,44.19921875m³
2012-06-11T00:00:00-07:00 Los_Angeles,50.6015625m³
2012-06-12T00:00:00-07:00 Los_Angeles,53.30078125m³
2012-06-13T00:00:00-07:00 Los_Angeles,51.796875m³
2012-06-14T00:00:00-07:00 Los_Angeles,49.5m³
2012-06-15T00:00:00-07:00 Los_Angeles,51.40234375m³
2012-06-16T00:00:00-07:00 Los_Angeles,50.80078125m³
2012-06-17T00:00:00-07:00 Los_Angeles,49.69921875m³
2012-06-18T00:00:00-07:00 Los_Angeles,52m³
2012-06-19T00:00:00-07:00 Los_Angeles,49.5m³
2012-06-20T00:00:00-07:00 Los_Angeles,50.09765625m³
2012-06-21T00:00:00-07:00 Los_Angeles,52m³
2012-06-22T00:00:00-07:00 Los_Angeles,52.5m³
2012-06-23T00:00:00-07:00 Los_Angeles,49.1015625m³
2012-06-24T00:00:00-07:00 Los_Angeles,47.1015625m³
2012-06-25T00:00:00-07:00 Los_Angeles,54.59765625m³
2012-06-26T00:00:00-07:00 Los_Angeles,54.5m³
2012-06-27T00:00:00-07:00 Los_Angeles,51.30078125m³
2012-06-28T00:00:00-07:00 Los_Angeles,53.30078125m³
2012-06-29T00:00:00-07:00 Los_Angeles,53.69921875m³
2012-06-30T00:00:00-07:00 Los_Angeles,51.90234375m³
2012-07-01T00:00:00-07:00 Los_Angeles,48.8984375m³
2012-07-02T00:00:00-07:00 Los_Angeles,46.69921875m³
2012-07-03T00:00:00-07:00 Los_Angeles,51.30078125m³
2012-07-04T00:00:00-07:00 Los_Angeles,52m³
2012-07-05T00:00:00-07:00 Los_Angeles,53.30078125m³
2012-07-06T00:00:00-07:00 Los_Angeles,55m³
2012-07-07T00:00:00-07:00 Los_Angeles,52.69921875m³
2012-07-08T00:00:00-07:00 Los_Angeles,53.69921875m³
2012-07-09T00:00:00-07:00 Los_Angeles,61.40234375m³
2012-07-10T00:00:00-07:00 Los_Angeles,65m³
2012-07-11T00:00:00-07:00 Los_Angeles,66.3984375m³
2012-07-12T00:00:00-07:00 Los_Angeles,66.6015625m³
2012-07-13T00:00:00-07:00 Los_Angeles,66.3984375m³
2012-07-14T00:00:00-07:00 Los_Angeles,65.80078125m³
2012-07-15T00:00:00-07:00 Los_Angeles,63.5m³
2012-07-16T00:00:00-07:00 Los_Angeles,64.69921875m³
2012-07-17T00:00:00-07:00 Los_Angeles,61.6015625m³
2012-07-18T00:00:00-07:00 Los_Angeles,59m³
2012-07-19T00:00:00-07:00 Los_Angeles,58.5m³
2012-07-20T00:00:00-07:00 Los_Angeles,59.3984375m³
2012-07-21T00:00:00-07:00 Los_Angeles,51.80078125m³
2012-07-22T00:00:00-07:00 Los_Angeles,49.80078125m³
2012-07-23T00:00:00-07:00 Los_Angeles,52.5m³
2012-07-24T00:00:00-07:00 Los_Angeles,52.5m³
2012-07-25T00:00:00-07:00 Los_Angeles,55.19921875m³
2012-07-26T00:00:00-07:00 Los_Angeles,57.19921875m³
2012-07-27T00:00:00-07:00 Los_Angeles,56.30078125m³
2012-07-28T00:00:00-07:00 Los_Angeles,49.69921875m³
2012-07-29T00:00:00-07:00 Los_Angeles,49.80078125m³
2012-07-30T00:00:00-07:00 Los_Angeles,55.30078125m³
2012-07-31T00:00:00-07:00 Los_Angeles,53.30078125m³
2012-08-01T00:00:00-07:00 Los_Angeles,55.8984375m³
2012-08-02T00:00:00-07:00 Los_Angeles,58.3984375m³
2012-08-03T00:00:00-07:00 Los_Angeles,60.30078125m³
2012-08-04T00:00:00-07:00 Los_Angeles,56.80078125m³
2012-08-05T00:00:00-07:00 Los_Angeles,56.30078125m³
2012-08-06T00:00:00-07:00 Los_Angeles,57.8984375m³
2012-08-07T00:00:00-07:00 Los_Angeles,62m³
2012-08-08T00:00:00-07:00 Los_Angeles,57m³
2012-08-09T00:00:00-07:00 Los_Angeles,54.19921875m³
2012-08-10T00:00:00-07:00 Los_Angeles,51m³
2012-08-11T00:00:00-07:00 Los_Angeles,43.203125m³
2012-08-12T00:00:00-07:00 Los_Angeles,43.19921875m³
2012-08-13T00:00:00-07:00 Los_Angeles,44.59765625m³
2012-08-14T00:00:00-07:00 Los_Angeles,49.30078125m³
2012-08-15T00:00:00-07:00 Los_Angeles,63.5m³
2012-08-16T00:00:00-07:00 Los_Angeles,63.80078125m³
2012-08-17T00:00:00-07:00 Los_Angeles,61.6015625m³
2012-08-18T00:00:00-07:00 Los_Angeles,63.5m³
2012-08-19T00:00:00-07:00 Los_Angeles,61m³
2012-08-20T00:00:00-07:00 Los_Angeles,67.296875m³
2012-08-21T00:00:00-07:00 Los_Angeles,64.203125m³
2012-08-22T00:00:00-07:00 Los_Angeles,56.09765625m³
2012-08-23T00:00:00-07:00 Los_Angeles,51.5m³
2012-08-24T00:00:00-07:00 Los_Angeles,47.90234375m³
2012-08-25T00:00:00-07:00 Los_Angeles,44.69921875m³
2012-08-26T00:00:00-07:00 Los_Angeles,46.19921875m³
2012-08-27T00:00:00-07:00 Los_Angeles,49.6015625m³
2012-08-28T00:00:00-07:00 Los_Angeles,50.796875m³
2012-08-29T00:00:00-07:00 Los_Angeles,51.30078125m³
2012-08-30T00:00:00-07:00 Los_Angeles,51.6015625m³
2012-08-31T00:00:00-07:00 Los_Angeles,50.59765625m³
2012-09-01T00:00:00-07:00 Los_Angeles,44.80078125m³
2012-09-02T00:00:00-07:00 Los_Angeles,43.40234375m³
2012-09-03T00:00:00-07:00 Los_Angeles,43.69921875m³
2012-09-04T00:00:00-07:00 Los_Angeles,51.09765625m³
2012-09-05T00:00:00-07:00 Los_Angeles,52.1015625m³
2012-09-06T00:00:00-07:00 Los_Angeles,49.6015625m³
2012-09-07T00:00:00-07:00 Los_Angeles,50.796875m³
2012-09-08T00:00:00-07:00 Los_Angeles,44m³
2012-09-09T00:00:00-07:00 Los_Angeles,43.5m³
2012-09-10T00:00:00-07:00 Los_Angeles,48.703125m³
2012-09-11T00:00:00-07:00 Los_Angeles,50m³
2012-09-12T00:00:00-07:00 Los_Angeles,51.59765625m³
2012-09-13T00:00:00-07:00 Los_Angeles,50m³
2012-09-14T00:00:00-07:00 Los_Angeles,50.6015625m³
2012-09-15T00:00:00-07:00 Los_Angeles,43.8984375m³
2012-09-16T00:00:00-07:00 Los_Angeles,46.40234375m³
2012-09-17T00:00:00-07:00 Los_Angeles,57.3984375m³
2012-09-18T00:00:00-07:00 Los_Angeles,61.3984375m³
2012-09-19T00:00:00-07:00 Los_Angeles,61.203125m³
2012-09-20T00:00:00-07:00 Los_Angeles,59.5m³
2012-09-21T00:00:00-07:00 Los_Angeles,60.296875m³
2012-09-22T00:00:00-07:00 Los_Angeles,52.40234375m³
2012-09-23T00:00:00-07:00 Los_Angeles,50.59765625m³
2012-09-24T00:00:00-07:00 Los_Angeles,58.703125m³
2012-09-25T00:00:00-07:00 Los_Angeles,58m³
2012-09-26T00:00:00-07:00 Los_Angeles,57.3984375m³
2012-09-27T00:00:00-07:00 Los_Angeles,54.3984375m³
2012-09-28T00:00:00-07:00 Los_Angeles,54m³
2012-09-29T00:00:00-07:00 Los_Angeles,36m³
2012-09-30T00:00:00-07:00 Los_Angeles,35.80078125m³
2012-10-01T00:00:00-07:00 Los_Angeles,45m³
2012-10-02T00:00:00-07:00 Los_Angeles,48.19921875m³
2012-10-03T00:00:00-07:00 Los_Angeles,57.5m³
2012-10-04T00:00:00-07:00 Los_Angeles,58.203125m³
2012-10-05T00:00:00-07:00 Los_Angeles,56.8984375m³
2012-10-06T00:00:00-07:00 Los_Angeles,50.1015625m³
2012-10-07T00:00:00-07:00 Los_Angeles,50.59765625m³
2012-10-08T00:00:00-07:00 Los_Angeles,50.40234375m³
2012-10-09T00:00:00-07:00 Los_Angeles,60m³
2012-10-10T00:00:00-07:00 Los_Angeles,60.19921875m³
2012-10-11T00:00:00-07:00 Los_Angeles,58.30078125m³
2012-10-12T00:00:00-07:00 Los_Angeles,58.19921875m³
2012-10-13T00:00:00-07:00 Los_Angeles,53.3984375m³
2012-10-14T00:00:00-07:00 Los_Angeles,50.90234375m³
2012-10-15T00:00:00-07:00 Los_Angeles,60m³
2012-10-16T00:00:00-07:00 Los_Angeles,57.69921875m³
2012-10-17T00:00:00-07:00 Los_Angeles,57.3984375m³
2012-10-18T00:00:00-07:00 Los_Angeles,59m³
2012-10-19T00:00:00-07:00 Los_Angeles,57.6015625m³
2012-10-20T00:00:00-07:00 Los_Angeles,49.30078125m³
2012-10-21T00:00:00-07:00 Los_Angeles,48.3984375m³
2012-10-22T00:00:00-07:00 Los_Angeles,53.5m³
2012-10-23T00:00:00-07:00 Los_Angeles,52.1015625m³
