"Date","HDD_daily","CDD_daily","GHI_sum","Humidity_avg"
2012-01-01,13.05,0,588,78.3916666666667
2012-01-02,11.2916666666667,0,193,81.9858333333333
2012-01-03,10.3083333333333,0,109,88.0479166666667
2012-01-04,9.45,0,377,85.63125
2012-01-05,11.825,0,509,85.3283333333333
2012-01-06,13.8916666666667,0,407,86.5716666666667
2012-01-07,13.9291666666667,0,236,85.5058333333333
2012-01-08,11.475,0,106,88.61875
2012-01-09,11.0666666666667,0,574,87.0654166666667
2012-01-10,15.9,0,992,72.9029166666667
2012-01-11,16.825,0,1246,66.1416666666667
2012-01-12,14.5791666666667,0,1201,61.5829166666667
2012-01-13,15.4083333333333,0,816,70.4375
2012-01-14,15.8958333333333,0,902,82.3245833333333
2012-01-15,17.95,0,869,66.525
2012-01-16,17.75,0,775,71.4095833333333
2012-01-17,18.6,0,1021,71.6870833333333
2012-01-18,23.2583333333333,0,842,71.48375
2012-01-19,22.3833333333333,0,1166,72.3133333333333
2012-01-20,14.8875,0,214,85.6241666666667
2012-01-21,13.0375,0,750,86.4725
2012-01-22,13.2166666666667,0,362,83.76375
2012-01-23,12.6291666666667,0,790,86.1820833333333
2012-01-24,12.1833333333333,0,247,85.7266666666667
2012-01-25,12.3958333333333,0,1278,82.9320833333333
2012-01-26,13.7375,0,1888,79.1208333333333
2012-01-27,14.575,0,860,81.61875
2012-01-28,13.9708333333333,0,182,80.6358333333333
2012-01-29,10.9375,0,178,89.525
2012-01-30,11.65,0,877,88.4404166666667
2012-01-31,11.9875,0,271,89.3345833333333
2012-02-01,12.0416666666667,0,2064,82.6933333333333
2012-02-02,12.8083333333333,0,769,82.8683333333333
2012-02-03,12.7958333333333,0,2188,79.1370833333333
2012-02-04,12.8416666666667,0,1276,75.4591666666667
2012-02-05,12.9625,0,1444,75.5466666666667
2012-02-06,12.7458333333333,0,1721,76.77375
2012-02-07,11.9541666666667,0,2339,74.1358333333333
2012-02-08,11.175,0,416,83.71125
2012-02-09,10.5458333333333,0,274,86.68
2012-02-10,9.77916666666667,0,639,85.2054166666667
2012-02-11,10.4791666666667,0,343,87.375
2012-02-12,11.6208333333333,0,648,87.2408333333333
2012-02-13,12.05,0,2047,77.1925
2012-02-14,13.3208333333333,0,1438,82.5279166666667
2012-02-15,12.9958333333333,0,719,79.5754166666667
2012-02-16,12.8375,0,214,86.94125
2012-02-17,12.0708333333333,0,428,84.27
2012-02-18,12.425,0,963,86.27375
2012-02-19,13.2625,0,1512,82.5570833333333
2012-02-20,13.1458333333333,0,828,83.0245833333333
2012-02-21,11.3291666666667,0,496,88.8833333333333
2012-02-22,11.2166666666667,0,2972,80.7583333333333
2012-02-23,12.3541666666667,0,2008,74.1875
2012-02-24,13.7208333333333,0,235,88.8333333333333
2012-02-25,13.3333333333333,0,2101,75.42875
2012-02-26,16.55,0,1664,67.8454166666667
2012-02-27,17.9083333333333,0,2562,60.2770833333333
2012-02-28,14.9375,0,1440,74.90875
2012-03-01,13.9875,0,2022,74.8108333333333
2012-03-02,13.2458333333333,0,494,87.7270833333333
2012-03-03,10.6416666666667,0,782,87.1025
2012-03-04,10.7875,0,395,88.1033333333333
2012-03-05,12.8291666666667,0,3008,76.1475
2012-03-06,15.1625,0,3903,51.6958333333333
2012-03-07,14.9208333333333,0,2626,62.4504166666667
2012-03-08,12.3208333333333,0,1971,75.6708333333333
2012-03-09,12.1416666666667,0,347,88.2204166666667
2012-03-10,12.1625,0,1191,86.4729166666667
2012-03-11,12.0833333333333,0,2830,78.18
2012-03-12,12.6,0,822,82.2158333333333
2012-03-13,14.3166666666667,0,2684,81.09125
2012-03-14,13.775,0,692,85.705
2012-03-15,10.5166666666667,0,2727,82.9375
2012-03-16,12.2291666666667,0,2422,84.43125
2012-03-17,13.1208333333333,0,3316,77.2283333333333
2012-03-18,13.9541666666667,0,3208,70.8254166666667
2012-03-19,14.4791666666667,0,2236,75.0425
2012-03-20,12.85,0,3302,80.425
2012-03-21,14.05,0,4095,74.55
2012-03-22,13.5083333333333,0,4214,76.38625
2012-03-23,11.8291666666667,0,5239,71.6954166666667
2012-03-24,12.1,0,5355,72.8491666666667
2012-03-25,10.1833333333333,0,4574,68.5654166666667
2012-03-26,10.6958333333333,0,1093,82.0883333333333
2012-03-27,10.0125,0,2127,80.9133333333333
2012-03-28,10,0,1709,84.53875
2012-03-29,10.9416666666667,0,1322,83.8991666666667
2012-03-30,11.3916666666667,0,2433,79.6379166666667
2012-03-31,12.8416666666667,0,932,83.0479166666667
2012-04-01,11.4833333333333,0,4873,78.77
2012-04-02,9.74583333333333,0,2279,79.4870833333333
2012-04-03,11.1875,0,2038,81.2741666666667
2012-04-04,11.4541666666667,0,5116,71.5966666666667
2012-04-05,11.575,0,4444,72.2666666666667
2012-04-06,11.5041666666667,0,4677,71.0625
2012-04-07,11.4041666666667,0,6269,71.8045833333333
2012-04-08,9.05416666666667,0,3812,66.4795833333333
2012-04-09,7.74166666666667,0,4686,67.2195833333333
2012-04-10,7.19166666666667,0,2694,71.6308333333333
2012-04-11,8.16666666666667,0,1684,84.53375
2012-04-12,8.4375,0,3940,79.47625
2012-04-13,8.24583333333333,0,5730,74.39125
2012-04-14,7.89166666666667,0,5763,72.3320833333333
2012-04-15,8.52916666666667,0,3692,76.1670833333333
2012-04-16,9.125,0,4033,80.87625
2012-04-17,10.9416666666667,0,2142,83.0229166666667
2012-04-18,9.25833333333333,0,3360,79.4404166666667
2012-04-19,9.51666666666667,0,1887,84.2995833333333
2012-04-20,8.2375,0,6489,71.1733333333333
2012-04-21,8.56666666666667,0,4741,71.28
2012-04-22,4.65833333333333,0,4663,70.95
2012-04-23,3.7625,0.00416666666666673,4179,74.3554166666667
2012-04-24,6.89583333333333,0,2429,83.27
2012-04-25,6.49166666666667,0,994,88.5795833333333
2012-04-26,7.825,0,4180,77.8420833333333
2012-04-27,8.6125,0,4840,73.61125
2012-04-28,7.55833333333333,0,2203,77.28875
2012-04-29,6.375,0,3871,78.6320833333333
2012-04-30,8.2375,0,3065,80.9233333333333
2012-05-01,9.16666666666667,0,5030,76.3004166666667
2012-05-02,8.95833333333333,0,4248,72.0970833333333
2012-05-03,9.1125,0,3153,79.8833333333333
2012-05-04,8.63333333333333,0,5334,78.1195833333333
2012-05-05,8.05833333333333,0,6156,70.9383333333333
2012-05-06,5.925,0,7028,67.0520833333333
2012-05-07,4.425,0,5725,62.6025
2012-05-08,5.72083333333333,0,4780,71.3458333333333
2012-05-09,8.89166666666667,0,7611,66.4629166666667
2012-05-10,8.59583333333333,0,7871,64.3266666666667
2012-05-11,6.29583333333333,0,7876,56.5158333333333
2012-05-12,3.33333333333333,0.4625,7952,51.2579166666667
2012-05-13,2.60833333333333,0.945833333333334,8064,53.0029166666667
2012-05-14,2.20833333333333,1.47916666666667,8076,57.3804166666667
2012-05-15,2.07916666666667,0.325,5964,63.2104166666667
2012-05-16,4.4125,0,7569,72.7558333333333
2012-05-17,6.18333333333333,0,8170,68.4420833333333
2012-05-18,6.49166666666667,0,5370,68.8166666666667
2012-05-19,4.94166666666667,0,7993,61.7920833333333
2012-05-20,5.45,0,2043,80.17625
2012-05-21,5.04166666666667,0,1959,86.5766666666667
2012-05-22,6.65,0,5209,75.6158333333333
2012-05-23,6.22916666666667,0,4383,75.4091666666667
2012-05-24,5.80416666666667,0,6928,71.6991666666667
2012-05-25,2.37083333333333,1.0625,8331,59.7204166666667
2012-05-26,1.65,1.43333333333333,8432,57.1195833333333
2012-05-27,3.92916666666667,0,6294,72.3229166666667
2012-05-28,4.92083333333333,0,3939,74.27625
2012-05-29,5.7875,0,5476,69.68125
2012-05-30,5.275,0,1890,75.0958333333333
2012-05-31,3.7875,0,2858,83.5691666666667
2012-06-01,3.52916666666667,0,3227,85.1933333333333
2012-06-02,4.5125,0,5691,70.7454166666667
2012-06-03,5.62083333333333,0,5286,65.7829166666667
2012-06-04,5.375,0,2996,72.8845833333333
2012-06-05,5.2375,0,2153,75.42875
2012-06-06,6.07916666666667,0,5742,72.3095833333333
2012-06-07,6.05416666666667,0,1836,78.03875
2012-06-08,6.225,0,5360,74.3241666666667
2012-06-09,4.72916666666667,0,7925,77.2079166666667
2012-06-10,4.05833333333333,0,5542,71.8558333333333
2012-06-11,2.4,0.375,7626,66.7620833333333
2012-06-12,2.4375,0,2063,82.815
2012-06-13,3.77916666666667,0,2436,75.345
2012-06-14,5.13333333333333,0,4547,74.21125
2012-06-15,3.27916666666667,0.00833333333333345,6527,67.6945833333333
2012-06-16,2.61666666666667,0,708,85.705
2012-06-17,3.26666666666667,0,4388,79.0695833333333
2012-06-18,4.57083333333333,0,7364,76.3429166666667
2012-06-19,3.4125,0,4073,69.0925
2012-06-20,1.69166666666667,0.1375,7341,66.1966666666667
2012-06-21,0.795833333333333,0.775,5644,65.8970833333333
2012-06-22,2.40416666666667,0,2280,80.3391666666667
2012-06-23,3.0125,0.0625,5005,80.17125
2012-06-24,2.725,0,7902,67.5191666666667
2012-06-25,2.15,0.4,6257,69.51
2012-06-26,2.92083333333333,0,3277,77.1279166666667
2012-06-27,2.52083333333333,0.129166666666667,7663,68.06
2012-06-28,1.82916666666667,0.0083333333333333,3486,78.19375
2012-06-29,1.26666666666667,0.216666666666667,4521,83.845
2012-06-30,1.24166666666667,0.191666666666667,1518,82.7779166666667
2012-07-01,2.49166666666667,0,3840,80.7995833333333
2012-07-02,4.25416666666667,0,1895,79.9879166666667
2012-07-03,4.17916666666667,0,4008,79.59875
2012-07-04,2.5625,0.0916666666666666,7859,66.1195833333333
2012-07-05,1.225,1.14583333333333,8488,61.39
2012-07-06,0.666666666666667,2.20416666666667,8425,59.585
2012-07-07,0.75,2.77916666666667,8172,63.8708333333333
2012-07-08,0.0166666666666666,4.50416666666667,8362,59.195
2012-07-09,0.254166666666667,2.70833333333333,8143,68.8820833333333
2012-07-10,0.625,2.45416666666667,8079,70.5245833333333
2012-07-11,0.204166666666667,3.2375,8210,69.9966666666667
2012-07-12,0.0541666666666667,3.33333333333333,7974,70.455
2012-07-13,0.0999999999999999,2.94583333333333,6264,77.4904166666667
2012-07-14,0.00416666666666673,3.8625,7701,75.80375
2012-07-15,0.370833333333334,0.6625,2836,81.5441666666667
2012-07-16,0.379166666666667,3.46666666666667,7538,75.3895833333333
2012-07-17,0,4.4125,7201,73.8758333333333
2012-07-18,0.283333333333333,1.1375,3845,77.1883333333333
2012-07-19,0.245833333333333,2.8625,7329,70.8133333333333
2012-07-20,0.391666666666667,0.2125,1300,83.43125
2012-07-21,0.779166666666667,0.658333333333334,4970,76.0458333333333
2012-07-22,1.7625,0.0791666666666666,2544,76.6325
2012-07-23,2.22916666666667,0,1291,82.3258333333333
2012-07-24,1.025,0.7875,5956,76.62
2012-07-25,0.4375,2.88333333333333,7693,72.01
2012-07-26,0.0458333333333334,3.31666666666667,7664,72.0766666666667
2012-07-27,0.7625,0.8875,3915,78.4183333333333
2012-07-28,0.883333333333333,1.04583333333333,7116,73.56
2012-07-29,0.629166666666666,1.63333333333333,7599,71.4595833333333
2012-07-30,0.941666666666666,0.858333333333333,5415,74.6675
2012-07-31,0.733333333333333,1.28333333333333,7281,72.5929166666667
2012-08-01,0.745833333333333,1.54166666666667,6698,73.3620833333333
2012-08-02,0.458333333333333,1.6375,5993,73.9408333333333
2012-08-03,0.2625,3.43333333333333,7431,67.2495833333333
2012-08-04,0,6.15,7397,62.7629166666667
2012-08-05,0,7.42083333333333,7279,60.9233333333333
2012-08-06,0,4.40416666666667,3922,71.58375
2012-08-07,0.0291666666666666,2.64583333333333,5055,78.5758333333333
2012-08-08,0.383333333333333,1.0125,3723,74.7258333333333
2012-08-09,0.220833333333334,1.97916666666667,6724,70.3654166666667
2012-08-10,0.279166666666667,2.25833333333333,6818,73.525
2012-08-11,0.2,4.0125,7010,69.6283333333333
2012-08-12,0,4.1125,7084,71.9125
2012-08-13,0.0083333333333333,2.825,5873,73.9045833333333
2012-08-14,0.104166666666667,2.8125,6483,75.84125
2012-08-15,0,4.6875,7089,60.8175
2012-08-16,0,6.31666666666667,6980,53.05625
2012-08-17,0,6.89166666666667,6818,52.29125
2012-08-18,0,4.07916666666667,4633,68.2608333333333
2012-08-19,0.254166666666667,1.5125,3132,75.3275
2012-08-20,0.4375,1.83333333333333,5725,67.55375
2012-08-21,0.795833333333333,1.04166666666667,3155,73.1416666666667
2012-08-22,1.34166666666667,0.245833333333333,5735,77.7004166666667
2012-08-23,2.08333333333333,0.1875,4719,73.7841666666667
2012-08-24,2.2,0.245833333333333,6552,68.74
2012-08-25,1.125,1.72083333333333,6460,63.3879166666667
2012-08-26,0.616666666666667,0.708333333333333,3594,68.6391666666667
2012-08-27,1.55,0.229166666666667,5254,76.66375
2012-08-28,1.54583333333333,0.2,2748,74.32
2012-08-29,1.62916666666667,0.258333333333333,3433,73.9358333333333
2012-08-30,1.47083333333333,0.5375,6192,69.39125
2012-08-31,2.00833333333333,0.445833333333333,5791,70.4808333333333
2012-09-01,2.16666666666667,0.4,5934,73
2012-09-02,2.03333333333333,0.4,5739,73.1275
2012-09-03,1.53333333333333,0.604166666666667,5327,74.175
2012-09-04,1.23333333333333,1.27083333333333,5850,74.8504166666667
2012-09-05,0.941666666666667,1.47083333333333,4678,77.0054166666667
2012-09-06,0.666666666666667,2.66666666666667,5897,60.3375
2012-09-07,0.395833333333333,4.225,5741,54.0845833333333
2012-09-08,0.166666666666667,3.3,4306,62.2245833333333
2012-09-09,2.1875,0,1156,83.9075
2012-09-10,4.39583333333333,0,4656,75.065
2012-09-11,4.67916666666667,0,5562,69.1104166666667
2012-09-12,3.0125,0.479166666666667,5477,63.7445833333333
2012-09-13,1.25,1.80833333333333,5396,56.4579166666667
2012-09-14,0.891666666666667,1.5625,5242,60.545
2012-09-15,1.36666666666667,0.920833333333333,5183,75.8825
2012-09-16,1.25416666666667,1.67916666666667,5216,65.4504166666667
2012-09-17,0.8875,2.825,5062,57.9691666666667
2012-09-18,0.204166666666666,2.3625,5054,60.1629166666667
2012-09-19,0.558333333333333,1.7,5015,67.3408333333333
2012-09-20,0.766666666666667,1.92083333333333,4844,64.4354166666667
2012-09-21,2.64583333333333,0,1886,78.7695833333333
2012-09-22,2.74166666666667,0,1972,75.9175
2012-09-23,2.29583333333333,0.279166666666667,3661,74.8591666666667
2012-09-24,2.39166666666667,0.0291666666666668,1778,80.5908333333333
2012-09-25,2.625,0.154166666666666,3506,74.115
2012-09-26,2.56666666666667,0.0833333333333333,3395,75.2704166666667
2012-09-27,1.475,0.708333333333333,4440,66.4566666666667
2012-09-28,1.12083333333333,0.404166666666667,1751,76.26625
2012-09-29,3.7875,0,2581,77.3991666666667
2012-09-30,3.575,0.00416666666666673,3452,71.9933333333333
2012-10-01,3.125,0.0500000000000001,2242,78.0904166666667
2012-10-02,6.05833333333333,0,4122,68.71
2012-10-03,5.88333333333333,0,4296,57.34375
2012-10-04,5.30833333333333,0,4164,58.6704166666667
2012-10-05,4.275,0.0458333333333332,4131,58.2183333333333
2012-10-06,3.16666666666667,0.3125,3991,59.2295833333333
2012-10-07,2.20833333333333,0.429166666666667,3946,59.9820833333333
2012-10-08,2.37083333333333,0.479166666666667,3792,63.5308333333333
2012-10-09,4.125,0,2213,78.3333333333333
2012-10-10,6.0125,0,915,85.5329166666667
2012-10-11,6.44166666666667,0,490,80.51
2012-10-12,6.76666666666667,0,690,88.6641666666667
2012-10-13,4.325,0,1001,89.7
2012-10-14,3.6125,0,228,89.5925
2012-10-15,5.275,0,909,88.8775
2012-10-16,6.95833333333333,0,2446,77.4154166666667
2012-10-17,8.35,0,1179,79.8233333333333
2012-10-18,7.57916666666667,0,398,83.7154166666667
2012-10-19,6.82916666666667,0,1202,83.3570833333333
2012-10-20,10.7,0,2047,80.5766666666667
2012-10-21,11.5875,0,1867,85.23625
2012-10-22,11.2833333333333,0,1068,78.0154166666667
2012-10-23,11.3833333333333,0,793,85.3654166666667
2012-10-24,11.3583333333333,0,628,83.0583333333333
2012-10-25,10.7541666666667,0,1805,74.5083333333333
2012-10-26,10.2041666666667,0,595,86.2733333333333
2012-10-27,8.84166666666667,0,425,88.76875
2012-10-28,7.42083333333333,0,1670,86.09375
2012-10-29,7.02083333333333,0,372,88.2354166666667
2012-10-30,6.6875,0,459,89.1616666666667
2012-10-31,5.89583333333333,0,190,90.40625
2012-11-01,6.575,0,657,88.9741666666667
2012-11-02,6.3,0,501,88.3808333333333
2012-11-03,6.275,0,274,89.2645833333333
2012-11-04,5.375,0,113,90.54875
2012-11-05,7.08333333333333,0,1770,79.8070833333333
2012-11-06,8.57083333333333,0,358,85.0325
2012-11-07,9.79166666666667,0,2186,80.9608333333333
2012-11-08,10.8833333333333,0,2200,70.4116666666667
2012-11-09,12.7666666666667,0,2084,55.54625
